name,ticker,link,price_24h,change_24h,volume_24h,fdv,market_cap,funding_price,roi,total_raised,date,investor_1,investor_2,investor_3,investor_4
"AngelBlock","THOL","https://icodrops.com/angelblock/","$0.0005033","-3.49%","$504.98","$201.6 K","$84.91 K","0.08","0.01x","$3.98 M","Feb 15, 2023","Black Dragon","Avalon Wealth Club","CSP DAO","More Details"
"Access Protocol","ACS","https://icodrops.com/access-protocol/","$0.0009589","1.35%","$820.39 K","$85.54 M","$40.73 M","—","0.12x","$1.2 M","Feb 15, 2023","CMS Holdings","Double Peak","Sora Ventures","More Details"
"Blur","BLUR","https://icodrops.com/blur/","$0.08148","4.80%","$9.14 M","$243.84 M","$204.08 M","—","0.02x","$31 M","Feb 14, 2023","eGirl Capital","Paradigm","Manifold Trading","More Details"
"Cheelee","","https://icodrops.com/cheelee/","$2.69","-0.41%","$4.39 M","$2.7 B","$152.87 M","1.3","2.07x","$23.05 M","Feb 10, 2023","Infinity Technology Fund","VC SILA","Veligera Capital",""
"Davos Protocol","DAVOS","https://icodrops.com/davos-protocol/","$0.9926","0.00%","$26.13","$97.76 K","$97.76 K","—","0.99x","$500 K","Feb 9, 2023","P2 Ventures","Sandeep Nailwal","",""
"BlueMove","MOVE","https://icodrops.com/bluemove/","$0.004565","12.70%","$478.87","$1.37 M","$992.89 K","0.04","0.11x","$400 K","Feb 9, 2023","Victus Capital","","",""
"Pine","PINE","https://icodrops.com/pine/","$0.002578","-1.31%","$18.44 K","$515.6 K","$56.46 K","0.2","0.01x","$4.82 M","Feb 9, 2023","Amber Group","Ryze Labs (Sino Global Capital)","The Spartan Group","More Details"
"CarrieVerse","CVTX","https://icodrops.com/carrieverse/","$0.000019","-36.67%","$29.41","$19 K","—","0.07","0.01x","$120 K","Feb 3, 2023","P2 Ventures","Alpha Token Capital","Central Investment Partners",""
"Thena","THE","https://icodrops.com/thena/","$0.3482","3.21%","$2.95 M","$91.14 M","$38.62 M","—","1.04x","$600 K","Jan 30, 2023","YZi Labs (prev Binance Labs)","Orbs","",""
"Dash 2 Trade","D2T","https://icodrops.com/dash-2-trade/","$0.0002992","-0.60%","$17.44 K","$383.5 K","$141.67 K","0.055","0.01x","$15.54 M","Jan 21, 2023","","","",""
"MTG","MTG","https://icodrops.com/mtg/","$0.0002391","11.01%","$16.77 K","$238.9 K","$239.1 K","0.0036","0.07x","$375 K","Jan 19, 2023","","","",""
"Tomi","TOMI","https://icodrops.com/tomi/","$0.0001432","-13.44%","$4.79 M","$1.65 M","$1.67 M","—","0.01x","—","Jan 16, 2023","","","",""
"tomiNet","TOMI","https://icodrops.com/tominet/","$0.0001432","-13.44%","$4.79 M","$1.65 M","$1.67 M","0.2","0.01x","$40.1 M","Jan 16, 2023","DWF Labs","Hirokado Kohji","Piha Equities","More Details"
"Astra Protocol","ASTRA","https://icodrops.com/astra-protocol/","$0.002055","-0.23%","$95.83 K","$300 M","—","0.3","0.01x","$128.57 M","Jan 16, 2023","Fundamental Labs","HTX Ventures (previously Huobi Ventures)","DAO Maker","More Details"
"Alongside","AMKT","https://icodrops.com/alongside/","$319.81","0.79%","$937.9","$1.37 M","$969.77 K","—","4.73x","$11 M","Jan 13, 2023","Andreessen Horowitz (a16z)","Coinbase Ventures","Franklin Templeton","More Details"
"Flare","FLR","https://icodrops.com/flare/","$0.02252","3.02%","$8.96 M","$2.33 B","$1.66 B","—","0.9x","$46.3 M","Jan 10, 2023","CoinFund","Digital Currency Group (DCG)","Do Kwon","More Details"
"Echelon Prime","PRIME","https://icodrops.com/echelon-prime/","$2.051","3.25%","$1.22 M","$223 M","$111.24 M","—","0.4x","—","Jan 3, 2023","","","",""
"Astroport","","https://icodrops.com/astroport/","$0.004243","-0.15%","$11.06 K","$5.41 M","$1.8 M","0.06","0.07x","$1.34 M","Dec 26, 2022","Terraform Labs (Luna)","","",""
"Terra2","LUNA","https://icodrops.com/terra2/","$0.1539","3.07%","$14.5 M","$172.31 M","$109.27 M","—","0.01x","—","Dec 21, 2022","","","",""
"Sense4Fit","SFIT","https://icodrops.com/sense4fit/","$0.0001265","5.02%","$5.55","$126.6 K","—","0.029","0.01x","$680 K","Dec 20, 2022","","","",""
"Medieval Empires","MEE","https://icodrops.com/medieval-empires/","$0.005268","0.62%","$139.61 K","$13.9 M","—","0.01","0.53x","$7.64 M","Dec 20, 2022","DWF Labs","Banana Capital","",""
"Superpower Squad","SQUAD","https://icodrops.com/superpower-squad/","$0.00008121","0.04%","$17.05 K","$80.01 K","$52.49 K","0.035","0.01x","$4.38 M","Dec 15, 2022","Everest Ventures","Ankr","KuCoin",""
"Spot","SPOT","https://icodrops.com/spot/","$2.47","1.23%","$3 K","$570.87 K","—","—","2.04x","$1 M","Dec 13, 2022","Coinbase Ventures","","",""
"DIMO","DIMO","https://icodrops.com/dimo/","$0.07159","-0.35%","$516.63 K","$71.58 M","$28.3 M","—","2.43x","$20.5 M","Dec 12, 2022","CoinFund","Slow Ventures","Borderless Capital","More Details"
"Oasys","OAS","https://icodrops.com/oasys/","$0.01089","1.16%","$319.93 K","$109 M","$52.63 M","0.035","0.31x","$21.03 M","Dec 12, 2022","Jump Crypto","Amber Group","Crypto.com","More Details"
"Primal","PRIMAL","https://icodrops.com/primal/","$0.00002076","-1.94%","$16.98 K","$103.8 K","$59.86 K","0.0016","0.01x","$2.32 M","Dec 8, 2022","DAO Maker","","",""
"Camelot Token","GRAIL","https://icodrops.com/camelot-token/","$285.9","0.51%","$97.01 K","$21.02 M","$6.51 M","253","1.12x","$6.27 M","Dec 6, 2022","Arbitrum Foundation","","",""
"AptosLaunch","ALT","https://icodrops.com/aptoslaunch/","$0.002594","4.51%","$100.1 K","$259.4 K","—","0.07","0.04x","$1.8 M","Dec 4, 2022","","","",""
"Hooked","HOOK","https://icodrops.com/hooked/","$0.1139","6.74%","$8.23 M","$56.25 M","$29.59 M","0.1","1.13x","$8.5 M","Dec 1, 2022","YZi Labs (prev Binance Labs)","Sequoia Capital","",""
"Atlas Navi","NAVI","https://icodrops.com/atlas-navi/","$0.03493","6.74%","$254.81 K","$9.95 M","$5.65 M","0.0825","0.42x","$3.1 M","Nov 29, 2022","","","",""
"Across","ACX","https://icodrops.com/across/","$0.1422","5.25%","$5.55 M","$142.4 M","$86.71 M","0.2","0.69x","$10 M","Nov 28, 2022","Blockchain Capital","Hack VC","Placeholder",""
"Across Protocol","ACX","https://icodrops.com/across-protocol/","$0.1422","5.25%","$5.55 M","$142.4 M","$86.71 M","—","1.76x","$51 M","Nov 28, 2022","Blockchain Capital","Multicoin Capital","Paradigm","More Details"
"Lodestar","","https://icodrops.com/lodestar/","$0.003951","-0.15%","$14.43","$79.02 K","$52.64 K","—","0.01x","$600 K","Nov 22, 2022","Arbitrum Foundation","","",""
"Humanode","HMND","https://icodrops.com/humanode/","$0.01984","2.93%","$154.01 K","$7.34 M","$2.94 M","0.13","0.13x","$13.71 M","Nov 15, 2022","Tribe Capital","Wintermute","AU21 Capital","More Details"
"BitMEX","BMEX","https://icodrops.com/bitmex/","$0.2954","-0.70%","$21.54 K","$132.97 M","$29.47 M","—","0.45x","—","Nov 11, 2022","","","",""
"ResearchHub","RSC","https://icodrops.com/researchhub/","$0.4888","-0.03%","$217.51 K","$488.8 M","$58.87 M","—","96.94x","$7 M","Nov 8, 2022","Boost VC","Sora Ventures","Amjad Masad","More Details"
"Hashflow","HFT","https://icodrops.com/hashflow/","$0.0913","-0.36%","$11.59 M","$91.05 M","$54.9 M","0.4","0.23x","$30.95 M","Nov 7, 2022","Balaji Srinivasan","Electric Capital","IDEO CoLab Ventures","More Details"
"MagpieXYZ","MGP","https://icodrops.com/magpiexyz/","$0.03094","1.58%","$25.31 K","$30.95 M","$14.85 M","0.025","1.24x","$2.75 M","Oct 27, 2022","","","",""
"Vemate","VMT","https://icodrops.com/vemate/","$0.003107","-0.35%","$18.37 K","$466.2 K","—","0.022","0.14x","$790 K","Oct 25, 2022","","","",""
"AshSwap","ASH","https://icodrops.com/ashswap/","$0.002203","3.18%","$2.29 K","$2.15 M","$914 K","0.04","0.05x","$5.3 M","Oct 22, 2022","Morningstar Ventures","Spark Digital Capital","D1fferent Capital","More Details"
"GetKicks","KICKS","https://icodrops.com/getkicks/","$0.00002164","7.93%","$16.95 K","$108.15 K","$55.17 K","0.005","0.01x","$1.94 M","Oct 18, 2022","MM Ventures","Enjinstarter","Ferrum Network","More Details"
"Aptos","APT","https://icodrops.com/aptos/","$4.49","3.46%","$404.31 M","$5.27 B","$3.09 B","—","0.33x","$350 M","Oct 12, 2022","Andreessen Horowitz (a16z)","YZi Labs (prev Binance Labs)","Jump Crypto","More Details"
"Kapital DAO","KAP","https://icodrops.com/kapital-dao/","$0.0007165","2.01%","$23.36","$716.5 K","$91.09 K","0.2","0.01x","$7.08 M","Oct 8, 2022","Samsung NEXT","Wintermute","Yield Guild Games (YGG)","More Details"
"PUMLx","PUMLX","https://icodrops.com/pumlx/","$0.000477","0.36%","$10.48","$236.18 K","$61.65 K","0.07","0.01x","$3.79 M","Oct 7, 2022","DWF Labs","DWeb3 Capital","Aves Lair","More Details"
"Infinity Angel","ING","https://icodrops.com/infinity-angel/","$0.00000746","8.61%","$15.45 K","$35.25 K","—","0.02","0.01x","$125 K","Oct 6, 2022","Moon Knight Labs","SP Labs","",""
"ISKRA","ISK","https://icodrops.com/iskra/","$0.003792","0.88%","$18.28 K","$3.65 M","$1.45 M","0.3","0.01x","$40.15 M","Oct 5, 2022","Animoca Brands","ROK Capital","Kakao","More Details"
"SpaceN","SN","https://icodrops.com/spacen/","$1.357","1.44%","$101.52 K","$1.36 B","$54.29 M","0.05","27.13x","$80 K","Oct 2, 2022","","","",""
"Acquire.Fi","ACQ","https://icodrops.com/acquirefi/","$0.002871","-0.74%","$9.49 K","$888.9 K","$432.28 K","0.1","0.03x","$3.94 M","Sep 28, 2022","","","",""
"Corite","CO","https://icodrops.com/corite/","$0.0002411","-0.77%","$24.46","$241 K","$29.46 K","0.035","0.01x","$9.87 M","Sep 28, 2022","Arche Fund","Gate.io","Kyros Ventures","More Details"
"Axelar","AXL","https://icodrops.com/axelar/","$0.3805","19.49%","$24.83 M","$363.82 M","$392.99 M","1","0.34x","$144.69 M","Sep 27, 2022","YZi Labs (prev Binance Labs)","Electric Capital","Polychain Capital","More Details"
"Drac Network","TEDDY","https://icodrops.com/drac-network/","$0.007398","2.64%","$1.86 K","$536.57 K","—","0.0002","36.99x","—","Sep 23, 2022","","","",""
"Metaplex","MPLX","https://icodrops.com/metaplex/","$0.2683","1.86%","$9.43 M","$268.3 M","$223.44 M","—","0.31x","$46 M","Sep 20, 2022","Jump Crypto","Multicoin Capital","Solana Ventures","More Details"
"ChainPort","CPT","https://icodrops.com/chainport/","$0.0008388","10.20%","$17.38 K","$493.68 K","$143.55 K","0.12","0.01x","$13.9 M","Sep 20, 2022","Fundamental Labs","Tribe Capital","DAO Maker","More Details"
"Diamond Launch","DLC","https://icodrops.com/diamond-launch/","$0.1058","-1.39%","$12.92 K","$105.7 M","$94.16 M","0.035","3.1x","—","Sep 16, 2022","","","",""
"Stride","STRD","https://icodrops.com/stride/","$0.05953","3.49%","$179.03 K","$5.24 M","$5.23 M","—","0.04x","$10.7 M","Sep 14, 2022","1confirmation","Pantera Capital","Node Capital","More Details"
"Bnext","B3X","https://icodrops.com/bnext/","$0.0001668","-0.24%","$17.7 K","$583.45 K","—","0.02","0.01x","$57.94 M","Sep 13, 2022","Borderless Capital","Cometa","Digital Horizons","More Details"
"Sweatcoin","SWEAT","https://icodrops.com/sweatcoin/","$0.002131","-1.02%","$5.28 M","$43.99 M","$15.15 M","0.0071","0.3x","$18.69 M","Sep 13, 2022","Electric Capital","Jump Capital","OKX Ventures","More Details"
"Chirpley","CHIRP","https://icodrops.com/chirpley/","$0.001112","-3.36%","$70.94 K","$1.17 M","$459.29 K","0.021","0.05x","$2.91 M","Sep 11, 2022","LVT Capital","Chainpor","Fantomstarter","More Details"
"Skeb Coin","SKEB","https://icodrops.com/skeb-coin/","$0.0003578","1.10%","$17.93 K","$3.57 M","$3.44 M","0.0032","0.12x","$7.73 M","Sep 8, 2022","","","",""
"Super Walk","GRND","https://icodrops.com/super-walk/","$0.04824","0.18%","$252.96 K","$48.21 M","$34.64 M","0.06","0.85x","—","Sep 7, 2022","","","",""
"SuperWalk","GRND","https://icodrops.com/superwalk/","$0.04824","0.18%","$252.96 K","$48.21 M","$34.64 M","0.06","0.8x","$100 K","Sep 7, 2022","GBV Capital","HG Ventures","Krust","More Details"
"Goons of Balatroon","GOB","https://icodrops.com/goons-of-balatroon/","$0.0005017","0.56%","$150.08","$250.35 K","$96.52 K","0.05","0.01x","$3.29 M","Sep 1, 2022","Merit Circle","Faculty Capital","BullPerks","More Details"
"Wombat Exchange","WOM","https://icodrops.com/wombat-exchange/","$0.002087","2.34%","$7.2 K","$2.08 M","$464.53 K","0.075","0.03x","$9.45 M","Aug 29, 2022","YZi Labs (prev Binance Labs)","Jump Capital","Animoca Brands","More Details"
"Dogechain","DC","https://icodrops.com/dogechain/","$0.00002883","0.33%","$93.73 K","$4.87 M","$1.67 M","0.0017","0.02x","$51 K","Aug 26, 2022","","","",""
"Nodle Cash","NODL","https://icodrops.com/nodle/","$0.000299","3.53%","$117.92 K","$557.1 K","$304.43 K","0.094","0.02x","$62.12 M","Aug 26, 2022","Blockchain.com Ventures","Blockchange Ventures","Blockhead Capital","More Details"
"WhiteBIT Token","WBT","https://icodrops.com/whitebit-token/","$42.7","1.32%","$45.4 M","$17.06 B","$6.15 B","1.9","22.48x","$88.48 M","Aug 25, 2022","","","",""
"CANTO","CANTO","https://icodrops.com/canto/","$0.005589","-4.48%","$28 K","$5.59 M","$3.4 M","—","0.02x","—","Aug 23, 2022","","","",""
"Monsterra","MSTR","https://icodrops.com/monsterra/","$0.001005","5.33%","$3.16 K","$99.39 K","$12.61 K","0.2","0.01x","$2.38 M","Aug 19, 2022","Hashed","HTX Ventures (previously Huobi Ventures)","Kyros Ventures","More Details"
"Cryptostone","CPS","https://icodrops.com/cryptostone/","$0.00000143","6.41%","$67.22","$41.47 K","$13.55 K","0.0004","0.01x","$2.29 M","Aug 17, 2022","","","",""
"Basilisk","BSX","https://icodrops.com/basilisk/","$0.0000412","-1.20%","$6.94 K","$2.02 M","$971.21 K","—","0.14x","—","Aug 12, 2022","","","",""
"Redacted Cartel","BTRFLY","https://icodrops.com/redacted-cartel/","$20.06","11.58%","$28.13","$5.12 M","$458.85 K","—","0.06x","—","Aug 9, 2022","","","",""
"Cantina Royale","CRT","https://icodrops.com/cantina-royale/","$0.0004565","5.10%","$10.13","$60.18 K","—","0.04","0.01x","$6 M","Aug 7, 2022","Crypto.com","Mechanism Capital","Merit Circle","More Details"
"Meta Apes","PEEL","https://icodrops.com/meta-apes/","$0.0008364","","$6.9","$170.33 K","$147.41 K","0.04","0.02x","$2 M","Aug 4, 2022","","","",""
"Wombat","WOMBAT","https://icodrops.com/wombat/","$0.00007102","25.88%","$48.42","$544.9 K","$227.59 K","0.006","0.01x","—","Aug 2, 2022","","","",""
"Aura Network","AURA","https://icodrops.com/aura-network/","$0.005498","-0.79%","$48.2 K","$3.1 M","$2.23 M","0.065","0.08x","$10.44 M","Aug 2, 2022","Hashed","Arche Fund","Gate.io","More Details"
"Radiant Capital","","https://icodrops.com/radiant-capital/","$0.02172","4.38%","$2.81 M","$31.74 M","$28.06 M","—","0.17x","$12.29 M","Jul 25, 2022","YZi Labs (prev Binance Labs)","Arbitrum Foundation","",""
"Amazy","AZY","https://icodrops.com/amazy/","$0.0003341","-0.12%","$18.05 K","$334.5 K","—","0.025","0.01x","$3.5 M","Jul 22, 2022","DAO Maker","Seedify Fund","",""
"Xana","XETA","https://icodrops.com/xana/","$0.0002952","-5.90%","$28.91 K","$36.89 K","$1.45 M","0.01","0.03x","$2.6 M","Jul 20, 2022","DAO Maker","Model press","RedBlock",""
"ArtMeta","MART","https://icodrops.com/artmeta/","$0.004515","-0.20%","$16.95 K","$451.3 K","—","0.3","0.02x","$3.85 M","Jul 14, 2022","P2 Ventures","Polkastarter","Trustswap",""
"WingRiders","WRT","https://icodrops.com/wingriders/","$0.01822","0.77%","$17.93 K","$1.83 M","—","0.45","0.04x","$8.1 M","Jul 14, 2022","The Spartan Group","Double Peak","LongHash Ventures","More Details"
"LeverFi","LEVER","https://icodrops.com/leverfi/","$0.0000575","-10.27%","$824.98 K","$3.04 M","$3.21 M","0.00022","0.25x","$8.16 M","Jul 13, 2022","DWF Labs","Arrington XRP Capital","Mechanism Capital","More Details"
"H2O Securities","H2ON","https://icodrops.com/h2o-securities/","$0.03334","4.29%","$8.81","$309.5 M","—","—","0.03x","$150 M","Jul 8, 2022","GEM Capital","","",""
"OpenLeverage","OLE","https://icodrops.com/openleverage/","$0.005308","-0.40%","$25.39 K","$5.32 M","—","0.05","0.11x","$1.83 M","Jul 7, 2022","YZi Labs (prev Binance Labs)","Continue Capital","FBG Capital","More Details"
"Unique Network","UNQ","https://icodrops.com/unique-network/","$0.005704","-2.23%","$1.69 K","$5.85 M","$1.11 M","0.25","0.02x","$53.25 M","Jul 7, 2022","Pluto Digital Assets","The Lao","Animoca Brands","More Details"
"Agoric","","https://icodrops.com/agoric/","$0.005606","1.76%","$26.28 K","$5.64 M","$3.85 M","0.65","0.01x","$90.25 M","Jul 2, 2022","Polychain Capital","gumi Cryptos Capital","Lemniscap","More Details"
"Interlay","","https://icodrops.com/interlay/","$0.001541","-5.31%","$17.61 K","$1.55 M","$103.28 K","—","0.02x","—","Jun 30, 2022","","","",""
"OpenBlox","OBX","https://icodrops.com/openblox/","$0.00000181","","$0.02","$18.1 K","$4.7 K","0.004","0.01x","$3.4 M","Jun 30, 2022","Jump Crypto","3Commas","Digital Strategies","More Details"
"Petals","PTS","https://icodrops.com/petals/","$0.00000436","1.30%","$17.98 K","$436 K","$61.58 K","0.001","0.01x","$100 K","Jun 29, 2022","Kryptos Venture","Ultrafluid Venture","",""
"ArthSwap","ARSW","https://icodrops.com/arthswap/","$0.00003973","3.01%","$2.37","$39.32 K","$39.33 K","0.25","0.01x","$500 K","Jun 28, 2022","Hypersphere Ventures","LongHash Ventures","Digital Finance Group (DFG)","More Details"
"Fellaz","FLZ","https://icodrops.com/fellaz/","$0.1974","4.15%","$4.49 M","$383.8 M","—","0.1","1.89x","$166.65 K","Jun 27, 2022","PARSIQ","Cultur3 Capital","handstudio","More Details"
"Genopets KI","KI","https://icodrops.com/genopets-ki/","$0.0002261","-0.48%","$2.13","$13.52 K","—","0.1","0.01x","$2.01 M","Jun 24, 2022","","","",""
"Moonwell","WELL","https://icodrops.com/moonwell/","$0.02462","-2.46%","$4.97 M","$123.6 M","$89.07 M","0.026","0.95x","$23 M","Jun 23, 2022","Arrington XRP Capital","FMFW","Coinbase Ventures","More Details"
"Walken","WLKN","https://icodrops.com/walken/","$0.0005586","-0.36%","$28.06 K","$1.12 M","$830.15 K","0.0165","0.03x","$5.23 M","Jun 21, 2022","HTX Ventures (previously Huobi Ventures)","Morningstar Ventures","SNACKCLUB","More Details"
"JPY Coin","JPYC","https://icodrops.com/jpy-coin/","$0.007817","0.79%","$2.48 K","$779.6 K","—","—","1.08x","$4.4 M","Jun 20, 2022","Circle Ventures","Headline","i-nest capital",""
"Burrow","BRRR","https://icodrops.com/burrow/","$0.002262","5.80%","$55.97","$2.28 M","$1.37 M","0.05","0.05x","$5 M","Jun 20, 2022","Jump Crypto","Dragonfly Capital","Lemniscap","More Details"
"Origyn Foundation","OGY","https://icodrops.com/origyn-foundation/","$0.002178","-0.23%","$108.49 K","$180 M","—","0.018","0.12x","$20 M","Jun 16, 2022","Polychain Capital","Bill Ackman","GD10 Ventures","More Details"
"Aura Finance","AURA","https://icodrops.com/aura-finance/","$0.1614","-8.74%","$123.99 K","$13.12 M","$11.12 M","—","0.26x","—","Jun 15, 2022","","","",""
"Hop Protocol","HOP","https://icodrops.com/hop-protocol/","$0.008321","-0.48%","$1.74 K","$8.27 M","$625.93 K","0.016","0.52x","$1 M","Jun 10, 2022","1confirmation","6MV (6th Man Ventures)","Coinbase Ventures","More Details"
"Choise.com","CHO","https://icodrops.com/choise-com/","$0.003932","0.77%","$2.59 M","$3.9 M","$1.78 M","0.15","0.03x","$1.43 M","Jun 8, 2022","Avalanche Foundation","Bitbns","Darkpool Ventures","More Details"
"WeBuy","WE","https://icodrops.com/webuy/","$0.03051","-2.24%","$10.58 K","$76.15 M","—","0.5","0.06x","$8.69 M","Jun 3, 2022","AVentures DAO","Redhat capital","Staker Dao",""
"Optimism","OP","https://icodrops.com/optimism/","$0.7813","7.95%","$152.95 M","$3.34 B","$1.39 B","—","0.41x","$268.5 M","May 31, 2022","Andreessen Horowitz (a16z)","IDEO CoLab Ventures","Paradigm",""
"XREATORS","ORT","https://icodrops.com/xreators/","$0.0005323","1.35%","$18.58 K","$5.16 K","—","1","0.01x","$100 K","May 26, 2022","FBG Capital","Cobak","Hexlant","More Details"
"Konnect","KCT","https://icodrops.com/konnect/","$0.0007446","24.08%","$566.07 K","$7.47 M","$5.34 M","0.01","0.07x","$200 K","May 26, 2022","","","",""
"BH Network","BHAT","https://icodrops.com/bh-network/","$0.0006986","8.03%","$1.23 K","$123.47 K","$123.29 K","0.072","0.01x","$4 M","May 20, 2022","ZBS Capital","elrond","Parachain Ventures","More Details"
"MBD Financials","MBD","https://icodrops.com/mbd-financials/","$0.00002208","-1.52%","$48.66 K","$884 K","$572.77 K","—","0.01x","$10 M","May 18, 2022","LDA Capital","","",""
"Wonderman Nation","WNDR","https://icodrops.com/wonderman-nation/","$0.0298","0.07%","$9.43 K","$14.9 M","$423.62 K","0.099","0.3x","$6.93 M","May 9, 2022","Jump Capital","Shima Capital","SkyVision Capital","More Details"
"Colizeum","ZEUM","https://icodrops.com/colizeum/","$0.0006508","-2.15%","$17.46 K","$650.5 K","—","0.075","0.01x","$9.05 M","May 7, 2022","Pluto Digital Assets","AU21 Capital","Axia8 Ventures","More Details"
"Creo Engine","CREO","https://icodrops.com/creo-engine/","$0.005466","0.56%","$1.2 M","$4.33 M","$3.28 M","0.025","0.22x","$2.86 M","May 5, 2022","Moonwhale Ventures","Cointelligence","DaoStarter","More Details"
"rLoop","RLP","https://icodrops.com/rloop/","$0.001085","","$0.02","$62.61 K","—","0.47","0.01x","—","May 5, 2022","","","",""
"Snail Trail","SLIME","https://icodrops.com/snail-trail/","$0.0005628","","$0.24","$168.84 K","—","0.066","0.01x","$3.96 M","May 5, 2022","Republic Capital","AVentures DAO","Colony Lab","More Details"
"Project Galaxy","GAL","https://icodrops.com/project-galaxy/","$0.6945","1.92%","$46.37 K","$135.78 M","$88.72 M","1.5","0.45x","$25.4 M","May 5, 2022","YZi Labs (prev Binance Labs)","Blockchain Capital","Multicoin Capital","More Details"
"Aurigami","PLY","https://icodrops.com/aurigami/","$0.00002793","7.22%","$36.59","$279.6 K","$115.16 K","0.005","0.01x","$12.05 M","May 5, 2022","Jump Crypto","Polychain Capital","Amber Group","More Details"
"Undead Blocks","UNDEAD","https://icodrops.com/undead-blocks/","$0.003008","3.24%","$70.04 K","$1.5 M","$45.12 K","0.5","0.01x","$1.8 M","May 4, 2022","Animoca Brands","Double Peak","Genblock Capital",""
"Jelly","JELLY","https://icodrops.com/jelly/","$0.00009783","1.26%","$26.92","$14.67 K","—","—","0.01x","—","May 4, 2022","","","",""
"Secretum","SER","https://icodrops.com/secretum/","$0.0003736","99.60%","$2.13","$37.41 K","—","0.7","0.01x","$5.4 M","May 1, 2022","Alpha Hunt","Ansen Ventures","Cryptobuddy","More Details"
"Evmos","EVMOS","https://icodrops.com/evmos/","$0.00236","0.60%","$20.79 K","$1.85 M","$1.32 M","—","0.01x","$27 M","Apr 28, 2022","Polychain Capital","Coinbase Ventures","HashKey Capital","More Details"
"Taroverse","TARO","https://icodrops.com/taroverse/","$0.00009438","47.46%","$160.19","$182.18 K","$25.49 K","0.009","0.01x","$5.01 M","Apr 28, 2022","OIG Oracles Investment Group","Babylons","Chain Ridge Capital","More Details"
"Primate","PRIMATE","https://icodrops.com/primate/","$0.003002","2.03%","$16.19","$6.18 M","$4.93 M","—","0.05x","—","Apr 27, 2022","","","",""
"ApeX","APEX","https://icodrops.com/apex2/","$0.2705","-11.30%","$4.36 M","$133.45 M","$34.48 M","0.05","5.4x","$500 K","Apr 27, 2022","Jump Trading","Dragonfly Capital","Kronos Research","More Details"
"MetaDerby","DBY","https://icodrops.com/metaderby/","$0.0005212","","$0.1","$520.1 K","—","0.04","0.01x","$3.5 M","Apr 26, 2022","Magnus Capital","Shima Capital","Ava Labs","More Details"
"BreederDAO","BREED","https://icodrops.com/breederdao/","$0.009715","0.41%","$76.98 K","$8.72 M","$8.09 M","1.5","0.01x","$12.75 M","Apr 26, 2022","Andreessen Horowitz (a16z)","Delphi Digital (Delphi Labs)","Hashed","More Details"
"Elumia","ELU","https://icodrops.com/elumia/","$0.00009545","-16.27%","$1.05 K","$95.34 K","$50.7 K","0.05","0.01x","$7.75 M","Apr 26, 2022","Crypto.com","Spark Digital Capital","The Spartan Group","More Details"
"Step.app","FITFI","https://icodrops.com/step-app/","$0.001402","0.70%","$2.29 M","$6.45 M","$5.73 M","0.0049","0.29x","$3.43 M","Apr 26, 2022","","","",""
"Plutonian DAO","PLD","https://icodrops.com/plutonian-dao/","$0.001603","0.85%","$50.59","$561.4 K","—","0.1","0.02x","$1.87 M","Apr 25, 2022","brotherhood","Contango Digital Assets","Dreamboat Capital","More Details"
"Hawksight","HAWK","https://icodrops.com/hawksight/","$0.00006599","8.61%","$22.18 K","$330 K","$68.09 K","0.012","0.01x","$4.56 M","Apr 22, 2022","One Block Capital","Solana Ventures","Big Brain Holdings","More Details"
"MetaShooter","MHUNT","https://icodrops.com/metashooter/","$0.00005514","-1.53%","$20.01","$5.24 K","—","0.17","0.01x","$8.04 M","Apr 21, 2022","MV Global","Good Games Guild","GOTBIT","More Details"
"Rayn","AKTIO","https://icodrops.com/rayn/","$0.1053","-3.95%","$20.86 K","$5.95 M","—","1.16","0.09x","—","Apr 14, 2022","","","",""
"Nym","NYM","https://icodrops.com/nym/","$0.05106","1.10%","$2.09 M","$51.05 M","$41.72 M","0.25","0.21x","$64.17 M","Apr 14, 2022","1kx","Andreessen Horowitz (a16z)","YZi Labs (prev Binance Labs)","More Details"
"Liqwid Finance","LQ","https://icodrops.com/liqwid-finance/","$2.86","4.00%","$19.47 K","$55.86 M","$57.81 M","—","0.03x","$2.7 M","Apr 11, 2022","Altonomy","Animoca Brands","Double Peak","More Details"
"Giddy","","https://icodrops.com/giddy/","$0.0001098","0.34%","$86.71","$109.9 K","$109.8 K","—","0.01x","$6.9 M","Apr 10, 2022","Clarke Capital","Peak","Pelion Venture Partners",""
"Drunk Robots","METAL","https://icodrops.com/drunk-robots/","$0.0002491","-0.09%","$17.59 K","$654.23 K","$194.43 K","0.01","0.02x","$15.72 M","Apr 9, 2022","Moonrock Capital","Animoca Brands","Gate.io","More Details"
"EdgeSwap","EGS","https://icodrops.com/edgeswap/","$0.0005101","-0.06%","$14.39 K","$51.9 K","—","0.015","0.03x","$220 K","Apr 9, 2022","","","",""
"UpOnly","UPO","https://icodrops.com/uponly/","$0.006305","-0.22%","$152.31 K","$1.01 M","$1.01 M","0.16","0.04x","$7.56 M","Apr 9, 2022","x21 Digital","ZBS Capital","OIG Oracles Investment Group","More Details"
"Geojam","JAM","https://icodrops.com/geojam/","$0.00008501","1.20%","$18.79 K","$679.76 K","$643.86 K","0.005","0.02x","$5.62 M","Apr 9, 2022","Angel Invest","Galaxy Ventures","",""
