name,ticker,link,price_24h,change_24h,volume_24h,fdv,market_cap,funding_price,roi,total_raised,date,investor_1,investor_2,investor_3,investor_4
"Stafi","FIS","https://icodrops.com/stafi/","$0.1068","1.96%","$2.49 M","$16.38 M","$12.69 M","0.13","0.82x","$990 K","Sep 11, 2020","Continue Capital","Nirvana Capital","Focus Labs","More Details"
"SUN","SUN","https://icodrops.com/sun/","$0.02129","1.25%","$19.6 M","$422.89 M","$407.96 M","—","0.01x","—","Sep 11, 2020","","","",""
"Stella","ALPHA","https://icodrops.com/stella/","$0.01508","-0.75%","$1.57 M","$15.01 M","$14.1 M","—","0.19x","$150 K","Sep 10, 2020","Arbitrum Foundation","","",""
"AMP","AMP","https://icodrops.com/amp/","$0.003412","3.07%","$8.13 M","$340.54 M","$287.57 M","0.001","3.37x","$20 M","Sep 9, 2020","1kx","Jump Crypto","Pantera Capital","More Details"
"Perpetual Protocol","PERP","https://icodrops.com/perpetual-protocol/","$0.2583","2.88%","$4.4 M","$38.16 M","$18.76 M","1.64","0.16x","$14.56 M","Sep 9, 2020","YZi Labs (prev Binance Labs)","Multicoin Capital","CMS Holdings","More Details"
"AegisDeFi","AGT","https://icodrops.com/aegisdefi/","$0.001886","-0.27%","$16.96 K","$56.55 K","$7.85 K","0.5","0.01x","—","Sep 8, 2020","","","",""
"Alchemy Pay","ACH","https://icodrops.com/alchemy-pay/","$0.02017","4.36%","$9.22 M","$193 M","$190.99 M","—","0.52x","$10 M","Sep 7, 2020","DWF Labs","","",""
"Revv","","https://icodrops.com/revv/","$0.001393","3.30%","$55.01 K","$4.17 M","$1.66 M","—","0.1x","$5.5 M","Sep 6, 2020","Tribe Capital","C2Ventures (Csquared)","Digital Asset Capital Management (DACM)","More Details"
"Yup","YUP","https://icodrops.com/yup/","$0.0007464","48.17%","$398.17","$62.59 K","$33.09 K","—","0.01x","$3.5 M","Sep 3, 2020","IDEO CoLab Ventures","Dapper Labs","Distributed Global","More Details"
"Tokamak Network","TON","https://icodrops.com/tokamak-network/","$1.29","1.57%","$929.29 K","$124.73 M","$56.56 M","0.45","2.87x","$3.88 M","Aug 30, 2020","100&100 Venture Capital","Alphain Ventures,","Blocore","More Details"
"Sushi","SUSHI","https://icodrops.com/sushi/","$0.8123","7.57%","$18.72 M","$231.25 M","$225.01 M","—","0.01x","$5.2 M","Aug 28, 2020","GoldenTree","","",""
"Anyswap","ANY","https://icodrops.com/anyswap/","$0.8559","2.79%","$13.73","$85.56 M","—","0.02","42.78x","—","Aug 26, 2020","YZi Labs (prev Binance Labs)","","",""
"Klever","","https://icodrops.com/klever/","$0.002686","2.67%","$4.05 M","$26.95 M","$23.85 M","—","0.55x","$30 M","Aug 26, 2020","Global Emerging Markets (GEM Digital Limited)","","",""
"Keysians","KEN","https://icodrops.com/keysians/","$0.5579","0.51%","$59.57","$5.58 M","$310.47 K","1","0.56x","—","Aug 16, 2020","","","",""
"Curve","CRV","https://icodrops.com/curve/","$0.8132","5.57%","$96.7 M","$1.86 B","$1.13 B","0.4","2.03x","$7 M","Aug 15, 2020","YZi Labs (prev Binance Labs)","DWF Labs","Michael Egorov","More Details"
"The Sandbox","SAND","https://icodrops.com/the-sandbox/","$0.3024","2.70%","$52.51 M","$906.6 M","$778.16 M","0.0083","36.21x","$120.01 M","Aug 14, 2020","Hashed","Samsung NEXT","Animoca Brands","More Details"
"Serum","SRM","https://icodrops.com/serum/","$0.01167","-2.03%","$119.68 K","$12.55 M","$3.07 M","0.11","0.1x","$120.66 M","Aug 11, 2020","Jump Crypto","Multicoin Capital","CoinFund","More Details"
"GeeqChain","GEEQ","https://icodrops.com/geeqchain/","$0.03031","1.84%","$272.08 K","$3.05 M","$1.17 M","0.25","0.12x","$749.6 K","Aug 6, 2020","ChainLink","Impact Venture Capital","Jun Capital","More Details"
"Parsiq","PRQ","https://icodrops.com/parsiq/","$0.01422","4.87%","$1.7 K","$4.41 M","$4.41 M","0.0275","0.52x","$4.95 M","Aug 5, 2020","Axia8 Ventures","Krypital Group","CoinUnited.io","More Details"
"SUKU","SUKU","https://icodrops.com/suku/","$0.02975","-0.16%","$168.1 K","$44.58 M","$14.51 M","0.1","0.3x","$15.71 M","Aug 4, 2020","","","",""
"Bitbns","BNS","https://icodrops.com/bitbns/","$0.00003063","-10.18%","$5.37","$76.6 K","—","0.024","0.01x","$2.68 M","Jul 31, 2020","","","",""
"Pocket Network","POKT","https://icodrops.com/pocket-network/","$0.03305","2.58%","$2.19 M","$78.48 M","$74.65 M","0.23","0.14x","$21.35 M","Jul 28, 2020","1kx","Arrington XRP Capital","Blockchain.com Ventures","More Details"
"Swingby","SWINGBY","https://icodrops.com/swingby/","$0.0007221","21.66%","$377.36","$643.76 K","$642.52 K","0.07","0.01x","$2.48 M","Jul 24, 2020","NGC Ventures","Signum Capital","Youbi Capital","More Details"
"dKargo","DKA","https://icodrops.com/dkargo/","$0.01507","3.57%","$1.98 M","$75.15 M","$75.35 M","0.02","0.74x","$16.2 M","Jul 24, 2020","","","",""
"Meta","MTA","https://icodrops.com/meta/","$0.03051","0.70%","$18.44","$2.67 M","$1.52 M","1.77","0.02x","$6.54 M","Jul 18, 2020","DeFiance Capital","Digital Asset Capital Management (DACM)","Kain Warwick","More Details"
"yearn.finance","YFI","https://icodrops.com/yearnfinance/","$5482.11","4.54%","$7.64 M","$200.39 M","$185.44 M","—","132.26x","—","Jul 18, 2020","","","",""
"Meter","MTRG","https://icodrops.com/meter/","$0.1075","2.55%","$104 K","$5.26 M","$3.47 M","0.5","0.22x","$2.53 M","Jul 18, 2020","Pantera Capital","DHVC","Global Blockchain Innovative Capital (GBIC)",""
"Polkadot","DOT","https://icodrops.com/polkadot/","$4.125","3.10%","$175.57 M","$6.65 B","$6.66 B","1.25","3.29x","$247.76 M","Jul 17, 2020","1confirmation","CoinFund","Continue Capital","More Details"
"Lumia","ORN","https://icodrops.com/lumia/","$0.3054","3.10%","$1.02 K","$72.81 M","$10.52 M","—","0.54x","—","Jul 16, 2020","","","",""
"Orion Protocol","ORN","https://icodrops.com/orion-protocol/","$0.3054","3.10%","$1.02 K","$72.81 M","$10.52 M","0.1","15.67x","$28.79 M","Jul 16, 2020","DWF Labs","Almora Capital","",""
"Rarible","RARI","https://icodrops.com/rarible/","$0.9692","1.00%","$6.4 M","$24.23 M","$18.89 M","—","2.46x","$15.95 M","Jul 15, 2020","1kx","Coinbase Ventures","CoinFund","More Details"
"MUX Protocol","MCB","https://icodrops.com/mux-protocol/","$2.45","2.51%","$5.91 K","$11.77 M","$9.36 M","—","1.32x","$4.82 M","Jul 13, 2020","Arbitrum Foundation","","",""
"Nexus Mutual","NXM","https://icodrops.com/nexus-mutual/","$93.35","1.45%","—","$201.85 M","$202.11 M","0.34","272x","$2.94 M","Jul 12, 2020","1confirmation","1kx","Blockchain Capital","More Details"
"Balancer Pool","BAL","https://icodrops.com/balancer-pool/","$1.26","2.44%","$6.24 M","$87.87 M","$84.52 M","—","0.14x","$28.21 M","Jun 23, 2020","Blockchain Capital","Pantera Capital","Accomplice","More Details"
"DMM Governance Token","DMG","https://icodrops.com/dmm-governance-token/","$0.001297","","$12.53","$324.25 K","$64.41 K","0.36","0.01x","$7.65 M","Jun 22, 2020","","","",""
"Aleph.im","ALEPH","https://icodrops.com/alephim/","$0.07347","-2.34%","$284.72 K","$36.7 M","$18.16 M","—","5.59x","$10 M","Jun 20, 2020","Rarestone Capital","TRGC","Zee Prime Capital","More Details"
"Compound","COMP","https://icodrops.com/compound/","$44.57","3.65%","$21.01 M","$444.5 M","$421.51 M","—","0.45x","$33.2 M","Jun 16, 2020","Andreessen Horowitz (a16z)","Bain Capital Ventures","Paradigm","More Details"
"Measurable Data Token","MDT","https://icodrops.com/measurable-data-token/","$0.02457","1.15%","$1.8 M","$24.5 M","$16.61 M","0.032","0.77x","$14.2 M","Jun 5, 2020","Draper Dragon","BTX Capital","",""
"Hiblocks","HIBS","https://icodrops.com/hiblocks/","$0.0000036","0.19%","$20.07 K","$71.9 K","$36.31 K","0.002","0.01x","$21.29 M","Jun 4, 2020","Geekbeans Capital","Puhua Capital","",""
